method,n_clusters,silhouette,calinski_harabasz,davies_bouldin,edge_disagreement,neighbor_agreement,n_components_total,disconnected_clusters,largest_component_fraction
K-means,4,0.400949012760113,1193.9718888925584,0.8684692626256644,0.5035097192224622,0.49649028077753776,96,4,0.34
Connectivity-constrained Ward,4,0.11924060219653564,272.9362238138526,1.6803436545892523,0.12742980561555076,0.8725701943844493,4,0,1.0
ST-SCKM,4,0.27586116434204366,683.1194445635116,1.0183667047863012,0.3363930885529158,0.6636069114470842,66,4,0.49833333333333335
